CodeValue,ShortDescription,Description,Namespace
Gambell,Gambell,Native Village of Gambell,uri://ed-fi.org/TribalAffiliationDescriptor
Georgetown,Georgetown,Native Village of Georgetown,uri://ed-fi.org/TribalAffiliationDescriptor
Gila River,Gila River,"Gila River Indian Community of the Gila River Indian Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Goodnews Bay,Goodnews Bay,Native Village of Goodnews Bay,uri://ed-fi.org/TribalAffiliationDescriptor
Grand Portage,Grand Portage,Minnesota Chippewa Tribe - Grand Portage Band,uri://ed-fi.org/TribalAffiliationDescriptor
Grand Ronde Tribes,Grand Ronde Tribes,Confederated Tribes of the Grand Ronde Community of Oregon,uri://ed-fi.org/TribalAffiliationDescriptor
Grand Traverse,Grand Traverse,"Grand Traverse Band of Ottawa & Chippewa Indians, Michigan",uri://ed-fi.org/TribalAffiliationDescriptor
Grayling,Grayling,Organized Village of Grayling (aka Holikachuk),uri://ed-fi.org/TribalAffiliationDescriptor
Greenville,Greenville,Greenville Rancheria,uri://ed-fi.org/TribalAffiliationDescriptor
Grindstone,Grindstone,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Guidiville,Guidiville,Guidiville Rancheria of California,uri://ed-fi.org/TribalAffiliationDescriptor
Gulkana,Gulkana,Gulkana Village,uri://ed-fi.org/TribalAffiliationDescriptor
Habematolel,Habematolel,"Habematolel Pomo of Upper Lake, California",uri://ed-fi.org/TribalAffiliationDescriptor
Hamilton,Hamilton,Native Village of Hamilton,uri://ed-fi.org/TribalAffiliationDescriptor
Hannahville,Hannahville,"Hannahville Indian Community, Michigan",uri://ed-fi.org/TribalAffiliationDescriptor
Havasupai,Havasupai,"Havasupai Tribe of the Havasupai Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Healy Lake,Healy Lake,Healy Lake Village,uri://ed-fi.org/TribalAffiliationDescriptor
Ho-Chunk,Ho-Chunk,Ho-Chunk Nation of Wisconsin,uri://ed-fi.org/TribalAffiliationDescriptor
Hoh,Hoh,Hoh Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Holy Cross,Holy Cross,Holy Cross Village,uri://ed-fi.org/TribalAffiliationDescriptor
Hoonah,Hoonah,Hoonah Indian Association,uri://ed-fi.org/TribalAffiliationDescriptor
Hoopa,Hoopa,"Hoopa Valley Tribe, California",uri://ed-fi.org/TribalAffiliationDescriptor
Hooper Bay,Hooper Bay,Native Village of Hooper Bay,uri://ed-fi.org/TribalAffiliationDescriptor
Hopi,Hopi,Hopi Tribe of Arizona,uri://ed-fi.org/TribalAffiliationDescriptor
Hopland,Hopland,"Hopland Band of Pomo Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Houlton,Houlton,Houlton Band of Maliseet Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Hualapai,Hualapai,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Hughes,Hughes,Hughes Village,uri://ed-fi.org/TribalAffiliationDescriptor
Huslia,Huslia,Huslia Village,uri://ed-fi.org/TribalAffiliationDescriptor
